epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4113,1.56663,2.5696,1.4833,0.00417,1,0.59863,0.51111,0.74281,2.61571,1.04562,0.00030009,0.00030009,0.00030009
2,88.6456,0.75071,1.41751,0.99889,0.56437,0.79247,0.81991,0.71623,0.59934,1.60142,1.00657,0.000553637,0.000553637,0.000553637
3,126.58,0.6331,1.06037,0.95628,0.73927,0.7604,0.88509,0.62717,0.83971,1.88132,1.1746,0.000744938,0.000744938,0.000744938
4,163.251,0.62043,0.87742,0.95711,0.77183,0.82943,0.93292,0.78169,0.54259,1.40041,0.98717,0.000873991,0.000873991,0.000873991
5,200.033,0.60734,0.86945,0.93765,0.77239,0.84234,0.92185,0.80397,0.44511,1.32774,0.97865,0.000863116,0.000863116,0.000863116
6,237.315,0.57101,0.77339,0.95598,0.78401,0.91146,0.97383,0.89466,0.39222,0.87224,0.95576,0.000721645,0.000721645,0.000721645
7,275.432,0.53725,0.70831,0.92609,0.94686,0.87885,0.95879,0.85982,0.37247,0.76853,0.96183,0.000580174,0.000580174,0.000580174
8,314.325,0.49927,0.65631,0.90318,0.87789,0.95208,0.91848,0.89366,0.29779,0.69179,0.94382,0.000438703,0.000438703,0.000438703
9,352.779,0.4747,0.62557,0.90114,0.9085,0.93194,0.91707,0.90129,0.2837,0.66839,0.94438,0.000297232,0.000297232,0.000297232
10,391.145,0.46335,0.57881,0.91517,0.91388,0.94871,0.93661,0.92522,0.23558,0.6383,0.94272,0.000155761,0.000155761,0.000155761
